2339400 #3CC,ai_ABADDON.bf
238C600 #36C,ai_TAIHOU.bf
238CA00 #518,ai_TAKUHI.bf
238D000 #49C,ai_TANGATAMANU.bf
238D600 #39C,ai_THRONE.bf
238DA00 #7C0,ai_TIAMAT.bf
238E200 #4A8,ai_TITAN.bf
238E800 #438,ai_TITANIA.bf
238EE00 #340,ai_TOUTETSU.bf
238F200 #39C,ai_TRALTECTLI.bf
238F600 #354,ai_TZITZIMITL.bf
238FA00 #438,ai_UBU.bf
2390000 #608,ai_UROBOROS1.bf
2390800 #65C,ai_UROBOROS2.bf
2391000 #414,ai_VALKYRJA.bf
2391600 #434,ai_VETALA.bf
2391C00 #39C,ai_VIRTUE.bf
2392000 #37C,ai_VIVIAN.bf
2392400 #32C,ai_VODIANOI.bf
2392800 #354,ai_VOUIVRE.bf
2392C00 #2AC,ai_WENDIGO.bf
2393000 #1D4,ai_WENDIGO2.bf
2393200 #1D4,ai_WENDIGO3.bf
2393400 #2F0,ai_WILDHUNT.bf
2393800 #358,ai_XIUHTECUHTLI.bf
2393C00 #480,ai_YAMATANOOROCHI.bf
2394200 #2E0,ai_YAMAWARO.bf
2394600 #374,ai_YUKIJOROU.bf
2394A00 #40C,ai_YURUNG.bf
2395000 #4DC,ai_ZACCOUM.bf
2395600 #774,ai_ZELENIN1.bf
2395E00 #7D0,ai_ZELENIN2.bf
2396600 #340,ai_azumi2.bf
2396A00 #340,ai_bifrons2.bf
2396E00 #344,ai_lilim2.bf
2397200 #340,ai_naga2.bf
2397600 #194,ai_scr_test.bf
